"","cell_type","gene"
"90","Oligodendrocyte","Fa2h"
"91","Oligodendrocyte","Tmem88b"
"92","Oligodendrocyte","Prr5l"
"93","Oligodendrocyte","Ermn"
"94","Oligodendrocyte","St18"
"95","Oligodendrocyte","Myrf"
"96","Oligodendrocyte","Aspa"
"97","Oligodendrocyte","Gjb1"
"98","OPC","Fosb"
"99","OPC","Cdo1"
"100","OPC","Gpt2"
"101","OPC","Vcan"
"102","OPC","Rnf180"
"103","OPC","Emid1"
"104","OPC","Klhl5"
"105","OPC","Ampd3"
"106","OPC","Matn4"
"107","OPC","Neu4"
"108","OPC","Myt1"
"109","OPC","Chst11"
"110","OPC","Sema3d"
"111","OPC","Galnt3"
"112","Pyramidal","Baiap2"
"113","Pyramidal","Slc17a7"
"114","Pyramidal","Ptk2b"
"115","Pyramidal","Nrn1"
"116","Pyramidal","Fhl2"
"117","Pyramidal","Itpka"
"118","Pyramidal","Neurod6"
"119","Pyramidal","Nptx1"
"120","Pyramidal","Sv2b"
"121","Pyramidal","Kcnv1"
"122","Inhibitory","Npy"
"123","Inhibitory","Gad1"
"124","Inhibitory","Slc6a1"
"125","Inhibitory","Gad2"
"126","Inhibitory","Pcp4l1"
"127","Inhibitory","Zcchc12"
"128","Inhibitory","Dlx6os1"
"129","Inhibitory","Igf1"
"130","Ndnf_on","Gad1"
"131","Ndnf_on","Slc6a1"
"132","Ndnf_on","Gad2"
"133","Ndnf_on","Pcp4l1"
"134","Ndnf_on","Fgf13"
"135","Ndnf_on","Dner"
"136","Ndnf_on","Reln"
"137","Ndnf_on","Pnoc"
"138","Ndnf_on","Adarb2"
"139","Ndnf_on","Kit"
"140","Ndnf_on","Cnr1"
"141","Ndnf_on","Parm1"
"142","Ndnf_on","Klhl13"
"143","Ndnf_on","Zcchc12"
"144","Ndnf_on","Dlx6os1"
"145","Ndnf_on","Nr2f2"
"146","Ndnf_on","Igf1"
"147","Ndnf_on","Sema3c"
"148","Ndnf_on","Adra1a"
"149","Ndnf_on","Hapln1"
